house_id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,sqft_basement,yr_built,yr_renovated,street,city
0,313000,3,2,1340,7912,1,3,0,1955,2005,18810 Densmore Ave N,Shoreline
1,2384000,5,3,3650,9050,2,5,280,1921,0,709 W Blaine St,Seattle
2,342000,3,2,1930,11947,1,4,0,1966,0,26206-26214 143rd Ave SE,Kent
3,420000,3,2,2000,8030,1,4,1000,1963,0,857 170th Pl NE,Bellevue
4,550000,4,3,1940,10500,1,4,800,1976,1992,9105 170th Ave NE,Redmond
5,490000,2,1,880,6380,1,3,0,1938,1994,522 NE 88th St,Seattle
6,335000,2,2,1350,2560,1,3,0,1976,0,2616 174th Ave NE,Redmond
7,482000,4,3,2710,35868,2,3,0,1989,0,23762 SE 253rd Pl,Maple Valley
8,452500,3,3,2430,88426,1,4,860,1985,0,46611-46625 SE 129th St,North Bend
9,640000,4,2,1520,6200,1,3,0,1945,2010,6811 55th Ave NE,Seattle
10,463000,3,2,1710,7320,1,3,0,1948,1994,Burke-Gilman Trail,Lake Forest Park
11,1400000,4,3,2920,4000,1,5,1010,1909,1988,3838-4098 44th Ave NE,Seattle
12,588500,3,2,2330,14892,1,3,360,1980,0,1833 220th Pl NE,Sammamish
13,365000,3,1,1090,6435,1,4,0,1955,2009,2504 SW Portland Ct,Seattle
14,1200000,5,3,2910,9480,1,3,0,1939,1969,3534 46th Ave NE,Seattle
15,242500,3,2,1200,9720,1,4,0,1965,0,14034 SE 201st St,Kent
16,419000,3,2,1570,6700,1,4,0,1956,0,15424 SE 9th St,Bellevue
17,367500,4,3,3110,7231,2,3,0,1997,0,11224 SE 306th Pl,Auburn
18,257950,3,2,1370,5858,1,3,0,1987,2000,1605 S 245th Pl,Des Moines
19,275000,3,2,1180,10277,1,3,0,1983,2009,12425 415th Ave SE,North Bend
20,750000,3,2,2240,10578,2,5,690,1923,0,3225 NE 92nd St,Seattle
21,435000,4,1,1450,8800,1,4,0,1954,1979,3922 154th Ave SE,Bellevue
22,626000,3,2,1750,1572,2,3,280,2005,0,3140 Franklin Ave E,Seattle
23,612500,4,3,2730,12261,2,3,0,1991,0,10212 NE 156th Pl,Bothell
24,495000,4,2,1600,6380,1,3,470,1959,1989,2021 NE 100th St,Seattle
